 TOT   INH   IND
   -     -     -        Numeric.Optimization.NLOPT.Bindings withOpt (2485)
   -     -     -    Algorithm.SRTree.NonlinearOpt applyStoppingCondition (4970)
   -     -     -      Numeric.Optimization.NLOPT.Bindings set_maxeval (0)
   -     -     -        Numeric.Optimization.NLOPT.Bindings setScalar (2485)
   -     -     -      Numeric.Optimization.NLOPT.Bindings set_ftol_rel (0)
   -     -     -        Numeric.Optimization.NLOPT.Bindings setScalar (2485)


  .1    .1    .1  Algorithm.EqSat.Info calculateConsts (11447)
   -     -     -    Algorithm.EqSat.Info calculateConsts.cs (8452)
   -     -     -      Data.SRTree.Internal childrenOf (0)


  .1    .1    .1  Data.Massiv.Core.Index.Ix toLinearIndex (10666587)


   -     -     -  Data.Massiv.Array.Delayed.Pull makeArray (0)


  .7     -     -  Data.Massiv.Core.Index.Internal iterM (13387)
  .6     -     -    Data.SRTree.Eval * (0)


  .3     -     -  Data.SRTree.Recursion cata (83116)
  .3     -     -    Data.SRTree.Internal fmap (297176)
   -     -     -    Data.SRTree.Internal relabelParams.leftToRight (5477)
   -     -     -      Data.SRTree.Internal fmap (0)
   -     -     -    Data.SRTree.Eval ** (0)
   -     -     -    Data.SRTree.Eval * (0)


   -     -     -  Data.SRTree.Internal mapM (11454)
   -     -     -    Data.SRTree.Internal traverse (11454)
   -     -     -      Data.SRTree.Internal traverse.\ (5841)


   -     -     -  System.Random.SplitMix nextWord64 (75996)
   -     -     -    System.Random.SplitMix mix64 (41165)
   -     -     -      System.Random.SplitMix mix64.z1 (30756)
   -     -     -        System.Random.SplitMix shiftXorMultiply (30756)
   -     -     -      System.Random.SplitMix mix64.z2 (32705)
   -     -     -        System.Random.SplitMix shiftXorMultiply (10409)
   -     -     -      System.Random.SplitMix mix64.z3 (22296)


  .7     -     -  Algorithm.SRTree.Likelihoods mse (5980)
  .7     -     -    Algorithm.SRTree.Likelihoods sse (5980)
  .6     -     -      Algorithm.SRTree.Likelihoods sse.err (5980)
  .5     -     -        Data.Massiv.Core.Index.Internal iterM (5978)
   -     -     -        Data.SRTree.Eval * (0)
   -     -     -        Data.Massiv.Array.Delayed.Pull makeArrayLinear (5966)
  .1     -     -      Algorithm.SRTree.Likelihoods sse.yhat (5966)
  .1     -     -        Data.SRTree.Recursion cata (42468)
   -     -     -    Algorithm.SRTree.Likelihoods mse.(...) (5966)


  .1     -     -  System.Random.Internal uniformM (34831)
   -     -     -    System.Random.Internal uniformWord64 (0)
   -     -     -    System.Random.Internal uniformWord8 (34831)
   -     -     -      System.Random.Internal genWord8 (0)


   -     -     -  Data.Massiv.Array.Delayed.Pull unsafeLiftArray (13663)
   -     -     -    Data.Massiv.Core.Common fmap (7409)
   -     -     -      Data.Massiv.Core.Common fmap.\ (0)
   -     -     -        Data.Massiv.Array.Delayed.Pull makeArrayLinear (0)


  .3     -     -  Data.SRTree.Eval - (0)
  .3     -     -    Data.Massiv.Array.Delayed.Pull subtractionPointwise (14818)
  .3     -     -      Data.Massiv.Core.Operations subtractionPointwise (14818)
  .3     -     -        Data.Massiv.Array.Delayed.Pull unsafeLiftArray2 (14818)


   -     -     -  Numeric.Optimization.NLOPT.Bindings withOpt (9940)
   -     -     -    Numeric.Optimization.NLOPT.Bindings optimize.\ (2485)
   -     -     -      Numeric.Optimization.NLOPT.Bindings optimize.\.\ (2485)
   -     -     -        Numeric.Optimization.NLOPT.Bindings optimize.\.\.\ (2485)
